"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","Domain","Vocabulary","Ancestors"
"","45890917","209.7","Secondary neuroendocrine tumors","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44837878","V86.0","Estrogen receptor positive status [ER+]","4-dig billing V code","Non-Standard","40","40","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44837349","719.25","Villonodular synovitis, pelvic region and thigh","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836925","258.02","Multiple endocrine neoplasia [MEN] type IIA","5-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836924","258.0","Polyglandular activity in multiple endocrine adenomatosis","4-dig nonbill code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836905","239.4","Neoplasm of unspecified nature of bladder","4-dig billing code","Non-Standard","119","119","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836904","239.2","Neoplasm of unspecified nature of bone, soft tissue, and skin","4-dig billing code","Non-Standard","248","248","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836903","237.70","Neurofibromatosis, unspecified","5-dig billing code","Non-Standard","62","62","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836902","237.5","Neoplasm of uncertain behavior of brain and spinal cord","4-dig billing code","Non-Standard","9","9","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836901","236.7","Neoplasm of uncertain behavior of bladder","4-dig billing code","Non-Standard","16","16","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836900","235.3","Neoplasm of uncertain behavior of liver and biliary passages","4-dig billing code","Non-Standard","8","8","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836899","233.2","Carcinoma in situ of other and unspecified parts of uterus","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836898","232.4","Carcinoma in situ of scalp and skin of neck","4-dig billing code","Non-Standard","11","11","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836896","225.4","Benign neoplasm of spinal meninges","4-dig billing code","Non-Standard","6","6","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836895","224.9","Benign neoplasm of eye, part unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836894","221.0","Benign neoplasm of fallopian tube and uterine ligaments","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836893","220","Benign neoplasm of ovary","3-dig billing code","Non-Standard","23","23","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836892","219.9","Benign neoplasm of uterus, part unspecified","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836891","219.8","Benign neoplasm of other specified parts of uterus","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836890","218.0","Submucous leiomyoma of uterus","4-dig billing code","Non-Standard","21","21","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836889","214.1","Lipoma of other skin and subcutaneous tissue","4-dig billing code","Non-Standard","66","66","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836888","213.7","Benign neoplasm of long bones of lower limb","4-dig billing code","Non-Standard","37","37","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44836887","212.6","Benign neoplasm of thymus","4-dig billing code","Non-Standard","0","0","Condition","ICD9CM","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
